11.01.2023 9:20;Nikolainc;/hello;Hi - Nikolainc
11-01-2023 09:46:30;Nikolainc;/hello;Hi - Nikolainc
11-01-2023 09:46:36;Nikolainc;/get;['11.01.2023;—ходить в баню', '']
11-01-2023 09:54:06;Nikolainc;/get;['11.01.2023;—ходить в баню', '11.01.2023;—ходить в баню', '11.01.2023;—ходить в баню', '11.01.2023;—ходить в баню', '11.01.2023;—ходить в баню', '']
11-01-2023 10:00:02;Nikolainc;/get;['11.01.2023;—ходить в баню\\n', '11.01.2023;—ходить в баню\\n', '11.01.2023;—ходить в баню\\n', '11.01.2023;—ходить в баню\\n', '11.01.2023;—ходить в баню\\n', '']
11-01-2023 10:02:30;Nikolainc;/get;['11.01.2023;—ходить в баню', '11.01.2023;—ходить в баню', '11.01.2023;—ходить в баню', '11.01.2023;—ходить в баню', '11.01.2023;—ходить в баню', '']
11-01-2023 10:03:41;Nikolainc;/get;['11.01.2023;—ходить в баню\n11.01.2023;—ходить в баню\n11.01.2023;—ходить в баню\n11.01.2023;—ходить в баню\n11.01.2023;—ходить в баню\n']
11-01-2023 11:38:09;Nikolainc;/hello;Hi - Nikolainc
11-01-2023 11:38:11;Nikolainc;/get;['11.01.2023;—ходить в баню', '11.01.2023;—ходить в баню', '11.01.2023;—ходить в баню', '11.01.2023;—ходить в баню', '11.01.2023;—ходить в баню', '']
11-01-2023 11:58:13;Nikolainc;/get;[['11.01.2023', '—ходить в баню'], ['11.01.2023', '—ходить в баню'], ['11.01.2023', '—ходить в баню'], ['11.01.2023', '—ходить в баню'], ['11.01.2023', '—ходить в баню'], ['']]
11-01-2023 12:00:29;Nikolainc;/get;[['11.01.2023', '—ходить в баню'], ['11.01.2023', '—ходить в баню'], ['11.01.2023', '—ходить в баню'], ['11.01.2023', '—ходить в баню'], ['11.01.2023', '—ходить в баню']]
11-01-2023 12:02:08;Nikolainc;/get;None
11-01-2023 12:04:07;Nikolainc;/get;None
11-01-2023 12:04:07;Nikolainc;/get;None
11-01-2023 12:07:05;Nikolainc;/get;None
11-01-2023 12:07:52;Nikolainc;/get;None
11-01-2023 12:08:07;Nikolainc;/get;[['11.01.2022', '—ходить в баню'], ['11.01.2023', '—ходить в баню'], ['11.01.2023', '—ходить в баню'], ['11.01.2021', '—ходить в баню'], ['11.01.2023', '—ходить в баню']]
11-01-2023 12:16:01;Nikolainc;/get;[['11.01.2023', '—ходить в баню'], ['11.01.2021', '—ходить в баню'], ['11.01.2023', '—ходить в баню'], ['11.01.2022', '—ходить в баню'], ['11.01.2023', '—ходить в баню']]
11-01-2023 12:25:41;Nikolainc;/get;[[datetime.datetime(2023, 1, 11, 22, 23), '—ходить в баню'], [datetime.datetime(2021, 1, 11, 12, 13), '—ходить в баню'], [datetime.datetime(2023, 1, 11, 21, 21), '—ходить в баню'], [datetime.datetime(2022, 1, 11, 13, 11), '—ходить в баню'], [datetime.datetime(2023, 1, 11, 11, 21), '—ходить в баню']]
